CustomerID,CustomerName,JoinDate,LastPurchaseDate,TotalOrders,TotalRevenue,Segment,Region,Churned
C074,Customer_74,2023-10-06,2026-02-14,35,5257.1,Consumer,South,Yes
C075,Customer_75,2025-02-17,2026-01-01,38,4572.85,Small Business,South,Yes
C076,Customer_76,2023-12-31,2026-02-18,27,6892.45,Consumer,North,Yes
C077,Customer_77,2024-11-14,2026-01-18,41,1547.11,Corporate,South,Yes
C078,Customer_78,2024-07-13,2026-05-05,1,252.26,Small Business,South,No
C079,Customer_79,2023-04-27,2026-01-07,6,1480.15,Consumer,North,Yes
C080,Customer_80,2025-11-05,2026-04-26,26,3174.5,Corporate,South,No
C081,Customer_81,2024-06-25,2026-05-14,42,5812.66,Corporate,South,No
C082,Customer_82,2023-04-18,2026-05-28,10,1010.2,Small Business,East,No
C083,Customer_83,2023-10-08,2026-05-28,22,6082.05,Small Business,West,No
C084,Customer_84,2023-04-30,2026-04-06,2,51.96,Small Business,West,No
C085,Customer_85,2023-08-03,2026-01-07,39,5546.97,Small Business,North,Yes
C086,Customer_86,2023-04-28,2026-05-09,15,3431.5,Corporate,South,No
C087,Customer_87,2023-12-31,2026-01-24,38,4117.99,Small Business,North,Yes
C088,Customer_88,2025-01-30,2026-03-14,4,784.31,Consumer,West,No
C089,Customer_89,2023-03-10,2026-01-26,10,716.67,Corporate,South,Yes
C090,Customer_90,2024-11-27,2026-04-15,5,670.41,Consumer,West,No
C091,Customer_91,2024-03-22,2026-04-27,43,2883.75,Consumer,South,No
C092,Customer_92,2023-11-27,2026-01-15,13,3157.81,Corporate,East,Yes
C093,Customer_93,2024-09-02,2026-02-17,36,2683.87,Consumer,North,Yes
C094,Customer_94,2025-02-25,2026-04-19,41,11857.02,Corporate,South,No
C095,Customer_95,2024-10-19,2026-04-26,6,767.62,Corporate,North,No
C096,Customer_96,2023-04-16,2026-02-08,6,1066.75,Corporate,North,Yes
C097,Customer_97,2023-12-04,2026-05-27,18,2168.58,Consumer,East,No
C098,Customer_98,2023-04-13,2025-12-11,24,2612.73,Corporate,West,Yes
C099,Customer_99,2024-05-11,2026-05-24,29,6785.16,Small Business,West,No
C100,Customer_100,2024-10-11,2026-03-20,23,4202.42,Corporate,West,No
